game_id,season_year,game_date,home_team_id,away_team_id
0021900173,2019-20,2019-11-15,1610612744,1610612738
0021900174,2019-20,2019-11-15,1610612747,1610612758
0021900175,2019-20,2019-11-16,1610612741,1610612751
0021900176,2019-20,2019-11-16,1610612754,1610612749
0021900177,2019-20,2019-11-16,1610612752,1610612766
0021900178,2019-20,2019-11-16,1610612748,1610612740
0021900179,2019-20,2019-11-16,1610612750,1610612745
0021900180,2019-20,2019-11-16,1610612742,1610612761
0021900181,2019-20,2019-11-16,1610612759,1610612757
0021900182,2019-20,2019-11-16,1610612746,1610612737
0021900183,2019-20,2019-11-17,1610612739,1610612755
0021900184,2019-20,2019-11-17,1610612758,1610612738
0021900185,2019-20,2019-11-17,1610612753,1610612764
0021900186,2019-20,2019-11-17,1610612763,1610612743
0021900187,2019-20,2019-11-17,1610612740,1610612744
0021900188,2019-20,2019-11-17,1610612747,1610612737
0021900189,2019-20,2019-11-18,1610612752,1610612739
0021900190,2019-20,2019-11-18,1610612751,1610612754
0021900191,2019-20,2019-11-18,1610612761,1610612766
0021900192,2019-20,2019-11-18,1610612741,1610612749
0021900193,2019-20,2019-11-18,1610612745,1610612757
0021900194,2019-20,2019-11-18,1610612742,1610612759
0021900196,2019-20,2019-11-18,1610612762,1610612750
0021900197,2019-20,2019-11-18,1610612746,1610612760
0021900198,2019-20,2019-11-19,1610612763,1610612744
0021900199,2019-20,2019-11-19,1610612740,1610612757
0021900200,2019-20,2019-11-19,1610612758,1610612756
0021900201,2019-20,2019-11-19,1610612747,1610612760
0021900202,2019-20,2019-11-20,1610612755,1610612752
0021900203,2019-20,2019-11-20,1610612764,1610612759
0021900204,2019-20,2019-11-20,1610612737,1610612749
0021900205,2019-20,2019-11-20,1610612751,1610612766
0021900206,2019-20,2019-11-20,1610612748,1610612739
0021900207,2019-20,2019-11-20,1610612761,1610612753
0021900208,2019-20,2019-11-20,1610612742,1610612744
0021900209,2019-20,2019-11-20,1610612741,1610612765
0021900210,2019-20,2019-11-20,1610612750,1610612762
0021900211,2019-20,2019-11-20,1610612743,1610612745
0021900212,2019-20,2019-11-20,1610612746,1610612738
0021900213,2019-20,2019-11-21,1610612749,1610612757
0021900214,2019-20,2019-11-21,1610612756,1610612740
0021900215,2019-20,2019-11-22,1610612765,1610612737
0021900216,2019-20,2019-11-22,1610612764,1610612766
0021900217,2019-20,2019-11-22,1610612751,1610612758
0021900218,2019-20,2019-11-22,1610612755,1610612759
0021900219,2019-20,2019-11-22,1610612741,1610612748
0021900220,2019-20,2019-11-22,1610612760,1610612747
0021900221,2019-20,2019-11-22,1610612742,1610612739
0021900222,2019-20,2019-11-22,1610612743,1610612738
0021900223,2019-20,2019-11-22,1610612762,1610612744
0021900224,2019-20,2019-11-22,1610612746,1610612745
0021900225,2019-20,2019-11-23,1610612750,1610612756
0021900226,2019-20,2019-11-23,1610612766,1610612741
0021900227,2019-20,2019-11-23,1610612754,1610612753
0021900228,2019-20,2019-11-23,1610612737,1610612761
0021900229,2019-20,2019-11-23,1610612752,1610612759
0021900230,2019-20,2019-11-23,1610612755,1610612748
0021900231,2019-20,2019-11-23,1610612739,1610612757
0021900232,2019-20,2019-11-23,1610612763,1610612747
0021900233,2019-20,2019-11-23,1610612749,1610612765
0021900234,2019-20,2019-11-23,1610612762,1610612740
0021900235,2019-20,2019-11-24,1610612745,1610612742
0021900236,2019-20,2019-11-24,1610612752,1610612751
0021900237,2019-20,2019-11-24,1610612764,1610612758
0021900238,2019-20,2019-11-24,1610612743,1610612756
0021900239,2019-20,2019-11-24,1610612746,1610612740
0021900240,2019-20,2019-11-25,1610612739,1610612751
0021900241,2019-20,2019-11-25,1610612765,1610612753
0021900242,2019-20,2019-11-25,1610612754,1610612763
0021900243,2019-20,2019-11-25,1610612737,1610612750
0021900244,2019-20,2019-11-25,1610612738,1610612758
0021900245,2019-20,2019-11-25,1610612748,1610612766
0021900246,2019-20,2019-11-25,1610612761,1610612755
0021900247,2019-20,2019-11-25,1610612741,1610612757
0021900248,2019-20,2019-11-25,1610612749,1610612762
0021900249,2019-20,2019-11-25,1610612759,1610612747
0021900250,2019-20,2019-11-25,1610612744,1610612760
0021900251,2019-20,2019-11-26,1610612742,1610612746
0021900252,2019-20,2019-11-26,1610612743,1610612764
0021900253,2019-20,2019-11-27,1610612738,1610612751
0021900254,2019-20,2019-11-27,1610612766,1610612765
0021900255,2019-20,2019-11-27,1610612739,1610612753
0021900256,2019-20,2019-11-27,1610612754,1610612762
0021900257,2019-20,2019-11-27,1610612755,1610612758
0021900258,2019-20,2019-11-27,1610612761,1610612752
0021900259,2019-20,2019-11-27,1610612745,1610612748
0021900260,2019-20,2019-11-27,1610612763,1610612746
0021900261,2019-20,2019-11-27,1610612749,1610612737
0021900262,2019-20,2019-11-27,1610612759,1610612750
0021900263,2019-20,2019-11-27,1610612756,1610612764
0021900264,2019-20,2019-11-27,1610612740,1610612747
0021900265,2019-20,2019-11-27,1610612757,1610612760
0021900266,2019-20,2019-11-27,1610612744,1610612741
0021900320,2019-20,2019-12-06,1610612766,1610612751
0021900321,2019-20,2019-12-06,1610612739,1610612753
0021900322,2019-20,2019-12-06,1610612765,1610612754
0021900323,2019-20,2019-12-06,1610612738,1610612743
0021900324,2019-20,2019-12-06,1610612748,1610612764
0021900325,2019-20,2019-12-06,1610612741,1610612744
0021900326,2019-20,2019-12-06,1610612760,1610612750
0021900327,2019-20,2019-12-06,1610612749,1610612746
0021900328,2019-20,2019-12-06,1610612759,1610612758
0021900329,2019-20,2019-12-06,1610612757,1610612747
0021900330,2019-20,2019-12-07,1610612742,1610612740
0021900331,2019-20,2019-12-07,1610612752,1610612754
0021900332,2019-20,2019-12-07,1610612755,1610612739
0021900333,2019-20,2019-12-07,1610612745,1610612756
0021900334,2019-20,2019-12-07,1610612762,1610612763
0021900335,2019-20,2019-12-08,1610612751,1610612743
0021900336,2019-20,2019-12-08,1610612766,1610612737
0021900337,2019-20,2019-12-08,1610612748,1610612741
0021900338,2019-20,2019-12-08,1610612755,1610612761
0021900339,2019-20,2019-12-08,1610612764,1610612746
0021900340,2019-20,2019-12-08,1610612742,1610612758
0021900341,2019-20,2019-12-08,1610612757,1610612760
0021900342,2019-20,2019-12-08,1610612747,1610612750
0021900343,2019-20,2019-12-09,1610612754,1610612746
0021900344,2019-20,2019-12-09,1610612738,1610612739
0021900345,2019-20,2019-12-09,1610612741,1610612761
0021900346,2019-20,2019-12-09,1610612745,1610612758
0021900347,2019-20,2019-12-09,1610612749,1610612753
0021900348,2019-20,2019-12-09,1610612740,1610612765
0021900349,2019-20,2019-12-09,1610612756,1610612750
0021900350,2019-20,2019-12-09,1610612762,1610612760
0021900351,2019-20,2019-12-09,1610612744,1610612763
0021900352,2019-20,2019-12-10,1610612766,1610612764
0021900353,2019-20,2019-12-10,1610612755,1610612743
0021900354,2019-20,2019-12-10,1610612748,1610612737
0021900355,2019-20,2019-12-10,1610612757,1610612752
0021900356,2019-20,2019-12-11,1610612739,1610612745
0021900357,2019-20,2019-12-11,1610612754,1610612738
0021900358,2019-20,2019-12-11,1610612753,1610612747
0021900359,2019-20,2019-12-11,1610612761,1610612746
0021900360,2019-20,2019-12-11,1610612751,1610612766
0021900361,2019-20,2019-12-11,1610612741,1610612737
0021900362,2019-20,2019-12-11,1610612750,1610612762
0021900363,2019-20,2019-12-11,1610612756,1610612763
0021900364,2019-20,2019-12-11,1610612749,1610612740
0021900365,2019-20,2019-12-11,1610612758,1610612760
0021900366,2019-20,2019-12-11,1610612744,1610612752
0021900367,2019-20,2019-12-12,1610612738,1610612755
0021900368,2019-20,2019-12-12,1610612759,1610612739
0021900369,2019-20,2019-12-12,1610612765,1610612742
0021900370,2019-20,2019-12-12,1610612743,1610612757
0021900371,2019-20,2019-12-13,1610612753,1610612745
0021900372,2019-20,2019-12-13,1610612755,1610612740
0021900374,2019-20,2019-12-13,1610612748,1610612747
0021900373,2019-20,2019-12-13,1610612737,1610612754
0021900375,2019-20,2019-12-13,1610612741,1610612766
0021900376,2019-20,2019-12-13,1610612763,1610612749
0021900379,2019-20,2019-12-13,1610612762,1610612744
